Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 10000 , 100 , Random , 1601536 , 00:1:51.823 , 0.011 , 0.0154 , 0.003 , 0.416 , 0 , 0.005 , 8.37E-7
2 , 10000 , 100 , Random , 1601536 , 00:2:43.576 , 0.016 , 0.0105 , 0.009 , 0.245 , 0 , 0.013 , 2.05E-7
3 , 10000 , 100 , Random , 1601536 , 00:2:38.813 , 0.016 , 0.011 , 0.007 , 0.257 , 0 , 0.013 , -2.34E-8
4 , 10000 , 100 , Random , 1601536 , 1:2:55.422 , 0.378 , 0.0105 , 0.009 , 0.241 , 0 , 0.017 , -4.91E-7
5 , 10000 , 100 , Random , 1601536 , 00:3:3.011 , 0.018 , 0.0104 , 0.01 , 0.319 , 0 , 0.018 , 8.61E-7
6 , 10000 , 100 , Random , 1601536 , 00:3:2.995 , 0.018 , 0.00933 , 0.01 , 0.276 , 0 , 0.018 , 5.94E-7
7 , 10000 , 100 , Random , 1601536 , 00:3:14.223 , 0.019 , 0.0101 , 0.01 , 0.316 , 0 , 0.019 , 2.85E-7
8 , 10000 , 100 , Random , 1601536 , 00:3:10.394 , 0.019 , 0.0103 , 0.011 , 0.236 , 0 , 0.018 , 1.41E-7
9 , 10000 , 100 , Random , 1601536 , 00:3:14.647 , 0.019 , 0.0103 , 0.011 , 0.324 , 0 , 0.019 , -1.11E-6
10 , 10000 , 100 , Random , 1601536 , 00:3:11.056 , 0.019 , 0.0101 , 0.01 , 0.314 , 0 , 0.018 , 2.88E-7
11 , 10000 , 100 , Random , 1601536 , 00:3:10.781 , 0.019 , 0.0099 , 0.011 , 0.228 , 0 , 0.018 , -3.05E-6
12 , 10000 , 100 , Random , 1601536 , 00:3:18.121 , 0.02 , 0.0104 , 0.01 , 0.279 , 0 , 0.019 , 1.63E-7
13 , 10000 , 100 , Random , 1601536 , 00:3:1.378 , 0.018 , 0.0104 , 0.011 , 0.31 , 0 , 0.017 , 4.28E-7
14 , 10000 , 100 , Random , 1601536 , 00:2:58.274 , 0.018 , 0.00993 , 0.011 , 0.244 , 0 , 0.018 , 6.33E-7
15 , 10000 , 100 , Random , 1601536 , 00:2:59.068 , 0.018 , 0.0097 , 0.01 , 0.227 , 0 , 0.018 , -1.52E-7
16 , 10000 , 100 , Random , 1601536 , 00:3:0.536 , 0.018 , 0.0102 , 0.011 , 0.295 , 0 , 0.018 , 5.44E-7
17 , 10000 , 100 , Random , 1601536 , 00:3:0.663 , 0.018 , 0.0108 , 0.009 , 0.331 , 0 , 0.019 , -4.53E-7
18 , 10000 , 100 , Random , 1601536 , 00:2:48.686 , 0.017 , 0.00979 , 0.011 , 0.219 , 0 , 0.017 , 4.07E-8
19 , 10000 , 100 , Random , 1601536 , 00:2:48.368 , 0.017 , 0.01 , 0.01 , 0.26 , 0 , 0.017 , 6.34E-7
20 , 10000 , 100 , Random , 1601536 , 00:2:49.78 , 0.017 , 0.01 , 0.01 , 0.224 , 0 , 0.017 , 1.96E-7
21 , 10000 , 100 , Random , 1601536 , 00:2:26.671 , 0.015 , 0.0106 , 0.008 , 0.294 , 0 , 0.013 , 3.34E-7
22 , 10000 , 100 , Random , 1601536 , 00:2:29.178 , 0.015 , 0.0109 , 0.008 , 0.312 , 0 , 0.013 , 3.17E-7
23 , 10000 , 100 , Random , 1601536 , 00:2:26.568 , 0.015 , 0.0108 , 0.008 , 0.254 , 0 , 0.013 , 3.32E-7
24 , 10000 , 100 , Random , 1601536 , 1:2:28.932 , 0.375 , 0.0109 , 0.009 , 0.305 , 0 , 0.013 , 3.12E-7
25 , 10000 , 100 , Random , 1601536 , 00:2:30.492 , 0.015 , 0.0109 , 0.009 , 0.257 , 0 , 0.013 , 2.77E-7
26 , 10000 , 100 , Random , 1601536 , 00:2:26.432 , 0.015 , 0.0109 , 0.009 , 0.322 , 0 , 0.013 , 1.29E-7
27 , 10000 , 100 , Random , 1601536 , 00:2:23.134 , 0.014 , 0.0111 , 0.008 , 0.26 , 0 , 0.013 , 4.63E-7
28 , 10000 , 100 , Random , 1601536 , 00:2:40.132 , 0.016 , 0.0102 , 0.009 , 0.299 , 0 , 0.014 , 2.7E-7
29 , 10000 , 100 , Random , 1601536 , 00:2:40.763 , 0.016 , 0.0104 , 0.01 , 0.264 , 0 , 0.014 , 6.16E-7
30 , 10000 , 100 , Random , 1601536 , 00:2:39.943 , 0.016 , 0.0104 , 0.009 , 0.261 , 0 , 0.014 , -1.34E-7
31 , 10000 , 100 , Random , 1601536 , 00:2:19.998 , 0.014 , 0.0108 , 0.008 , 0.271 , 0 , 0.012 , 3.34E-7
32 , 10000 , 100 , Random , 1601536 , 00:2:32.009 , 0.015 , 0.0118 , 0.008 , 0.318 , 0 , 0.013 , 3.74E-7
33 , 10000 , 100 , Random , 1601536 , 00:2:30.541 , 0.015 , 0.0109 , 0.009 , 0.27 , 0 , 0.013 , 7.78E-8
