Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 10000 , 100 , Zeros , 1601536 , 00:1:33.915 , 0.009 , 0.0123 , 0.004 , 0.367 , 0 , 0.007 , 7.85E-8
2 , 10000 , 100 , Zeros , 1601536 , 00:2:54.203 , 0.017 , 0.0103 , 0.009 , 0.25 , 0 , 0.017 , -3.16E-7
3 , 10000 , 100 , Zeros , 1601536 , 00:3:5.953 , 0.019 , 0.0102 , 0.009 , 0.265 , 0 , 0.018 , -1.39E-8
4 , 10000 , 100 , Zeros , 1601536 , 00:3:14.165 , 0.019 , 0.00941 , 0.011 , 0.225 , 0 , 0.019 , 2.17E-7
5 , 10000 , 100 , Zeros , 1601536 , 00:3:9.675 , 0.019 , 0.00961 , 0.009 , 0.235 , 0 , 0.019 , -7.29E-8
6 , 10000 , 100 , Zeros , 1601536 , 00:3:11.225 , 0.019 , 0.00963 , 0.01 , 0.253 , 0 , 0.019 , 4.92E-7
7 , 10000 , 100 , Zeros , 1601536 , 00:3:15.184 , 0.02 , 0.00954 , 0.011 , 0.25 , 0 , 0.019 , 4.37E-7
8 , 10000 , 100 , Zeros , 1601536 , 00:3:18.03 , 0.02 , 0.00972 , 0.009 , 0.284 , 0 , 0.019 , 1.49E-6
9 , 10000 , 100 , Zeros , 1601536 , 00:3:10.539 , 0.019 , 0.00936 , 0.009 , 0.222 , 0 , 0.019 , 2.11E-7
10 , 10000 , 100 , Zeros , 1601536 , 00:3:14.721 , 0.019 , 0.00934 , 0.01 , 0.303 , 0 , 0.019 , 4.95E-7
11 , 10000 , 100 , Zeros , 1601536 , 00:3:12.649 , 0.019 , 0.00967 , 0.01 , 0.303 , 0 , 0.019 , 3.2E-7
12 , 10000 , 100 , Zeros , 1601536 , 00:3:7.228 , 0.019 , 0.00986 , 0.011 , 0.224 , 0 , 0.018 , 2.12E-7
