Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Most Common Write Time (s) , Write Time Increase
1,100,100, Random ,32768, 00:00:0.537 ,0.005,9.35E-04,0.004,0.009,0.005,-2.50E-05
2,100,100, Random ,32768, 00:00:0.564 ,0.006,1.68E-03,0.003,0.014,0.005,-1.25E-05
3,100,100, Random ,32768, 00:00:0.568 ,0.006,1.78E-03,0.004,0.015,0.005,2.15E-05
4,100,100, Random ,32768, 00:00:0.542 ,0.005,1.17E-03,0.004,0.011,0.005,-1.10E-05
5,100,100, Random ,32768, 00:00:0.581 ,0.006,1.36E-03,0.004,0.011,0.005,-1.64E-05
6,100,100, Random ,32768, 00:00:0.558 ,0.006,1.57E-03,0.004,0.015,0.005,6.16E-06
7,100,100, Random ,32768, 00:00:0.574 ,0.006,1.43E-03,0.004,0.013,0.005,-4.28E-06
8,100,100, Random ,32768, 00:00:0.578 ,0.006,1.48E-03,0.004,0.010,0.005,3.20E-06
9,100,100, Random ,32768, 00:00:0.618 ,0.006,1.98E-03,0.004,0.015,0.005,1.15E-05
10,100,100, Random ,32768, 00:00:0.558 ,0.006,1.33E-03,0.003,0.012,0.005,6.01E-06
11,100,100, Random ,32768, 00:00:0.513 ,0.005,7.79E-04,0.004,0.007,0.005,-2.35E-05
12,100,100, Random ,32768, 00:00:0.603 ,0.006,1.90E-03,0.004,0.012,0.005,2.20E-05
13,100,100, Random ,32768, 00:00:0.809 ,0.008,2.47E-02,0.004,0.252,0.005,5.00E-05
14,100,100, Random ,32768, 00:00:0.562 ,0.006,1.56E-03,0.004,0.015,0.005,-1.37E-05
15,100,100, Random ,32768, 00:00:0.553 ,0.006,1.24E-03,0.004,0.010,0.005,1.91E-05
16,100,100, Random ,32768, 00:00:0.523 ,0.005,1.26E-03,0.003,0.015,0.005,1.22E-05
17,100,100, Random ,32768, 00:00:0.546 ,0.005,1.83E-03,0.004,0.020,0.005,-3.70E-05
18,100,100, Random ,32768, 00:00:0.57 ,0.006,2.01E-03,0.004,0.016,0.005,8.61E-06
19,100,100, Random ,32768, 00:00:0.554 ,0.006,1.37E-03,0.004,0.012,0.005,1.91E-05
20,100,100, Random ,32768, 00:00:0.564 ,0.006,1.57E-03,0.004,0.011,0.005,2.26E-07
21,100,100, Random ,32768, 00:00:0.518 ,0.005,1.40E-03,0.003,0.013,0.005,-8.85E-06
22,100,100, Random ,32768, 00:00:0.807 ,0.008,2.42E-02,0.003,0.247,0.005,4.29E-05
23,100,100, Random ,32768, 00:00:0.569 ,0.006,1.68E-03,0.004,0.014,0.005,-8.59E-05
24,100,100, Random ,32768, 00:00:0.658 ,0.007,1.12E-02,0.004,0.117,0.005,2.60E-05
25,100,100, Random ,32768, 00:00:0.637 ,0.006,3.46E-03,0.004,0.036,0.005,1.52E-05
26,100,100, Random ,32768, 00:00:0.573 ,0.006,1.58E-03,0.004,0.015,0.005,2.26E-05
27,100,100, Random ,32768, 00:00:0.586 ,0.006,1.99E-03,0.004,0.017,0.005,-1.50E-05
28,100,100, Random ,32768, 00:00:0.506 ,0.005,1.57E-03,0.003,0.013,0.005,-2.34E-05
29,100,100, Random ,32768, 00:00:0.531 ,0.005,7.98E-04,0.004,0.008,0.005,4.95E-07
30,100,100, Random ,32768, 00:00:0.56 ,0.006,1.38E-03,0.004,0.011,0.005,6.35E-06
31,100,100, Random ,32768, 00:00:0.81 ,0.008,2.15E-02,0.003,0.218,0.005,2.31E-05
32,100,100, Random ,32768, 00:00:0.547 ,0.005,1.23E-03,0.004,0.013,0.005,-2.58E-06
33,100,100, Random ,32768, 00:00:0.615 ,0.006,1.81E-03,0.004,0.015,0.005,1.76E-05
34,100,100, Random ,32768, 00:00:0.562 ,0.006,1.63E-03,0.004,0.012,0.005,-6.56E-06
35,100,100, Random ,32768, 00:00:0.557 ,0.006,1.34E-03,0.004,0.011,0.005,1.26E-05
36,100,100, Random ,32768, 00:00:0.783 ,0.008,1.86E-02,0.004,0.187,0.005,5.84E-05
37,100,100, Random ,32768, 00:00:0.571 ,0.006,1.53E-03,0.004,0.013,0.005,-4.85E-06
38,100,100, Random ,32768, 00:00:0.537 ,0.005,1.25E-03,0.004,0.012,0.005,9.31E-06
39,100,100, Random ,32768, 00:00:0.596 ,0.006,1.77E-03,0.004,0.013,0.005,2.07E-05
40,100,100, Random ,32768, 00:00:0.582 ,0.006,1.86E-03,0.003,0.014,0.005,4.05E-06
41,100,100, Random ,32768, 00:00:0.548 ,0.005,1.57E-03,0.003,0.011,0.005,1.77E-05
42,100,100, Random ,32768, 00:00:0.545 ,0.005,1.12E-03,0.004,0.014,0.005,3.36E-06
43,100,100, Random ,32768, 00:00:0.563 ,0.006,1.39E-03,0.004,0.010,0.005,-2.68E-05
44,100,100, Random ,32768, 00:00:0.578 ,0.006,1.61E-03,0.004,0.012,0.005,9.81E-06
45,100,100, Random ,32768, 00:00:0.861 ,0.009,2.03E-02,0.004,0.196,0.005,7.40E-05
46,100,100, Random ,32768, 00:00:0.603 ,0.006,2.19E-03,0.004,0.019,0.006,-4.69E-06
47,100,100, Random ,32768, 00:00:0.53 ,0.005,1.11E-03,0.004,0.011,0.005,-3.28E-05
48,100,100, Random ,32768, 00:00:0.538 ,0.005,8.44E-04,0.004,0.009,0.005,-1.15E-05
49,100,100, Random ,32768, 00:00:0.539 ,0.005,1.50E-03,0.003,0.013,0.005,2.20E-06
50,100,100, Random ,32768, 00:00:0.581 ,0.006,1.59E-03,0.004,0.012,0.005,1.74E-05
