Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 1000 , 10000 , Random , 10272768 , 00:00:10.741 , 0.011 , 0.0061 , 0.005 , 0.143 , 0 , 0.011 , 6.84E-6
2 , 1000 , 10000 , Random , 10272768 , 00:00:10.511 , 0.011 , 0.011 , 0.004 , 0.262 , 0 , 0.011 , 1.7E-6
3 , 1000 , 10000 , Random , 10272768 , 00:00:11.363 , 0.011 , 0.00821 , 0.004 , 0.196 , 0 , 0.011 , 8.09E-6
4 , 1000 , 10000 , Random , 10272768 , 00:00:10.996 , 0.011 , 0.0104 , 0.005 , 0.285 , 0 , 0.011 , 1.36E-8
5 , 1000 , 10000 , Random , 10272768 , 00:00:11.052 , 0.011 , 0.00843 , 0.005 , 0.214 , 0 , 0.011 , -5.42E-7
6 , 1000 , 10000 , Random , 10272768 , 00:00:10.825 , 0.011 , 0.0115 , 0.005 , 0.315 , 0 , 0.011 , 3.39E-7
7 , 1000 , 10000 , Random , 10272768 , 00:00:19.447 , 0.019 , 0.0109 , 0.011 , 0.205 , 0 , 0.019 , -5.07E-6
8 , 1000 , 10000 , Random , 10272768 , 00:00:19.648 , 0.02 , 0.00907 , 0.012 , 0.198 , 0 , 0.019 , 1.33E-6
9 , 1000 , 10000 , Random , 10272768 , 00:00:18.932 , 0.019 , 0.00912 , 0.011 , 0.197 , 0 , 0.019 , -8.74E-8
10 , 1000 , 10000 , Random , 10272768 , 00:00:19.012 , 0.019 , 0.00777 , 0.011 , 0.18 , 0 , 0.019 , 1.4E-6
11 , 1000 , 10000 , Random , 10272768 , 00:00:19.25 , 0.019 , 0.00955 , 0.011 , 0.234 , 0 , 0.019 , 3.88E-6
12 , 1000 , 10000 , Random , 10272768 , 00:00:18.91 , 0.019 , 0.011 , 0.011 , 0.253 , 0 , 0.018 , -1.42E-4
13 , 1000 , 10000 , Random , 10272768 , 00:00:17.945 , 0.018 , 0.0121 , 0.011 , 0.243 , 0 , 0.018 , 1.92E-6
14 , 1000 , 10000 , Random , 10272768 , 00:00:19.121 , 0.019 , 0.0104 , 0.014 , 0.192 , 0 , 0.018 , 2.79E-7
15 , 1000 , 10000 , Random , 10272768 , 00:00:19.699 , 0.02 , 0.00978 , 0.012 , 0.21 , 0 , 0.019 , 2.1E-6
16 , 1000 , 10000 , Random , 10272768 , 00:00:19.001 , 0.019 , 0.00973 , 0.012 , 0.192 , 0 , 0.019 , 3.68E-8
17 , 1000 , 10000 , Random , 10272768 , 00:00:19.725 , 0.02 , 0.0105 , 0.015 , 0.219 , 0 , 0.019 , -5.11E-7
18 , 1000 , 10000 , Random , 10272768 , 00:00:19.74 , 0.02 , 0.0108 , 0.011 , 0.224 , 0 , 0.019 , 2.19E-6
19 , 1000 , 10000 , Random , 10272768 , 00:00:19.297 , 0.019 , 0.00971 , 0.013 , 0.205 , 0 , 0.018 , 6.36E-7
20 , 1000 , 10000 , Random , 10272768 , 00:00:19.953 , 0.02 , 0.011 , 0.015 , 0.235 , 0 , 0.019 , 5.95E-6
21 , 1000 , 10000 , Random , 10272768 , 00:00:19.24 , 0.019 , 0.00922 , 0.011 , 0.219 , 0 , 0.018 , 2.53E-6
22 , 1000 , 10000 , Random , 10272768 , 00:00:19.382 , 0.019 , 0.00835 , 0.013 , 0.181 , 0 , 0.018 , -4.54E-6
23 , 1000 , 10000 , Random , 10272768 , 00:00:18.716 , 0.019 , 0.00932 , 0.011 , 0.221 , 0 , 0.019 , 2.8E-6
24 , 1000 , 10000 , Random , 10272768 , 00:00:18.97 , 0.019 , 0.0104 , 0.011 , 0.215 , 0 , 0.018 , 3.32E-6
25 , 1000 , 10000 , Random , 10272768 , 00:00:19.707 , 0.02 , 0.00992 , 0.015 , 0.214 , 0 , 0.019 , 2.79E-6
26 , 1000 , 10000 , Random , 10272768 , 00:00:19.147 , 0.019 , 0.00945 , 0.015 , 0.22 , 0 , 0.018 , 2.33E-6
27 , 1000 , 10000 , Random , 10272768 , 00:00:18.082 , 0.018 , 0.0106 , 0.011 , 0.232 , 0 , 0.019 , 8.68E-7
28 , 1000 , 10000 , Random , 10272768 , 00:00:18.969 , 0.019 , 0.0109 , 0.011 , 0.216 , 0 , 0.018 , 7.32E-6
29 , 1000 , 10000 , Random , 10272768 , 00:00:18.454 , 0.018 , 0.00799 , 0.011 , 0.173 , 0 , 0.018 , 9.33E-7
30 , 1000 , 10000 , Random , 10272768 , 00:00:19.197 , 0.019 , 0.0099 , 0.01 , 0.22 , 0 , 0.019 , 8.44E-6
31 , 1000 , 10000 , Random , 10272768 , 00:00:20.678 , 0.021 , 0.0134 , 0.01 , 0.219 , 0 , 0.014 , -2.62E-6
32 , 1000 , 10000 , Random , 10272768 , 00:00:18.628 , 0.019 , 0.0104 , 0.011 , 0.216 , 0 , 0.017 , -7.09E-7
33 , 1000 , 10000 , Random , 10272768 , 00:00:18.763 , 0.019 , 0.0115 , 0.011 , 0.237 , 0 , 0.018 , 2.9E-6
34 , 1000 , 10000 , Random , 10272768 , 00:00:19.934 , 0.02 , 0.0119 , 0.011 , 0.252 , 0 , 0.02 , 3.25E-6
35 , 1000 , 10000 , Random , 10272768 , 00:00:19.04 , 0.019 , 0.0114 , 0.012 , 0.227 , 0 , 0.019 , 2.12E-6
36 , 1000 , 10000 , Random , 10272768 , 00:00:17.18 , 0.017 , 0.0119 , 0.01 , 0.246 , 0 , 0.014 , 6.41E-6
37 , 1000 , 10000 , Random , 10272768 , 00:00:18.585 , 0.019 , 0.00874 , 0.01 , 0.181 , 0 , 0.018 , 7.88E-6
38 , 1000 , 10000 , Random , 10272768 , 00:00:18.246 , 0.018 , 0.0102 , 0.011 , 0.222 , 0 , 0.018 , 1.86E-6
39 , 1000 , 10000 , Random , 10272768 , 00:00:18.787 , 0.019 , 0.012 , 0.012 , 0.227 , 0 , 0.019 , 8.95E-6
40 , 1000 , 10000 , Random , 10272768 , 00:00:18.606 , 0.019 , 0.0118 , 0.011 , 0.224 , 0 , 0.018 , 5.25E-6
41 , 1000 , 10000 , Random , 10272768 , 00:00:17.905 , 0.018 , 0.00957 , 0.011 , 0.201 , 0 , 0.018 , -8.23E-7
42 , 1000 , 10000 , Random , 10272768 , 00:00:18.942 , 0.019 , 0.00999 , 0.012 , 0.218 , 0 , 0.018 , 5.87E-7
43 , 1000 , 10000 , Random , 10272768 , 00:00:18.431 , 0.018 , 0.0101 , 0.011 , 0.237 , 0 , 0.018 , 1.56E-6
44 , 1000 , 10000 , Random , 10272768 , 00:00:18.284 , 0.018 , 0.0102 , 0.01 , 0.235 , 0 , 0.018 , 2.61E-6
45 , 1000 , 10000 , Random , 10272768 , 00:00:17.734 , 0.018 , 0.0105 , 0.01 , 0.221 , 0 , 0.018 , -5.07E-7
46 , 1000 , 10000 , Random , 10272768 , 00:00:19.001 , 0.019 , 0.00816 , 0.011 , 0.164 , 0 , 0.018 , 6.72E-6
47 , 1000 , 10000 , Random , 10272768 , 00:00:19.422 , 0.019 , 0.0119 , 0.01 , 0.241 , 0 , 0.02 , 1.02E-5
48 , 1000 , 10000 , Random , 10272768 , 00:00:18.477 , 0.018 , 0.0108 , 0.012 , 0.216 , 0 , 0.018 , 2.33E-6
49 , 1000 , 10000 , Random , 10272768 , 00:00:18.715 , 0.019 , 0.00956 , 0.012 , 0.175 , 0 , 0.018 , 6.38E-6
50 , 1000 , 10000 , Random , 10272768 , 00:00:17.425 , 0.017 , 0.00972 , 0.012 , 0.226 , 0 , 0.018 , -4.58E-7
