Run , DB Rows , Blob Size (Bytes) , Blob Type , DB Size (Bytes) , Total Write Time , Avrg. Write Time (s) , Write Time Deviation , Min Write Time (s) , Max Write Time (s) , Max Write Time Occurrance (%) , Most Common Write Time (s) , Write Time Increase
1 , 100 , 1000 , Zeros , 290816 , 00:3:21.84 , 2.018 , 0.00161 , 0.0 , 0.011 , 0 , 0.0 , -6.35E-5
2 , 100 , 1000 , Zeros , 290816 , 00:3:21.364 , 2.014 , 7.61E-4 , 0.0 , 0.006 , 0 , 0.0 , -2.57E-5
3 , 100 , 1000 , Zeros , 290816 , 00:3:20.894 , 2.009 , 8.33E-4 , 0.0 , 0.008 , 0 , 0.0 , -2.29E-5
4 , 100 , 1000 , Zeros , 290816 , 00:3:20.425 , 2.004 , 0.00131 , 0.0 , 0.011 , 0 , 0.0 , -6.52E-5
5 , 100 , 1000 , Zeros , 290816 , 00:3:20.056 , 2.001 , 0.00146 , 0.0 , 0.012 , 0 , 0.0 , -3.87E-5
6 , 100 , 1000 , Zeros , 290816 , 00:3:19.231 , 1.992 , 0.0071 , 0.0 , 0.075 , 0 , 0.0 , -2.57E-5
7 , 100 , 1000 , Zeros , 290816 , 00:3:18.498 , 1.985 , 0.00158 , 0.0 , 0.015 , 0 , 0.0 , -3.35E-5
8 , 100 , 1000 , Zeros , 290816 , 00:3:17.813 , 1.978 , 0.00109 , 0.0 , 0.01 , 0 , 0.0 , -3.53E-5
9 , 100 , 1000 , Zeros , 290816 , 00:3:17.181 , 1.972 , 0.00126 , 0.0 , 0.01 , 0 , 0.0 , -6.16E-5
10 , 100 , 1000 , Zeros , 290816 , 00:3:16.563 , 1.966 , 0.00134 , 0.0 , 0.011 , 0 , 0.0 , -1.66E-5
11 , 100 , 1000 , Zeros , 290816 , 00:3:15.722 , 1.957 , 0.00144 , 0.0 , 0.014 , 0 , 0.0 , -4.02E-5
12 , 100 , 1000 , Zeros , 290816 , 00:3:15.232 , 1.952 , 0.00119 , 0.0 , 0.011 , 0 , 0.0 , -2.39E-5
13 , 100 , 1000 , Zeros , 290816 , 00:3:14.689 , 1.947 , 0.00164 , 0.0 , 0.015 , 0 , 0.0 , -2.11E-5
